,song_title,artists,song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time signature
0,Linoleum,['NOFX'],spotify:track:4uB28m7RAflobYpnLMb6A2,0.18,0.934,4.0,-8.699,1.0,0.115,3.32e-05,0.000551,0.0702,0.433,197.043,130267.0,4.0
1,Big Bang,['Bad Religion'],spotify:track:318CznWjAUDlkYDHP2VYTQ,0.217,0.995,7.0,-3.02,1.0,0.191,0.00199,0.0,0.37,0.442,159.957,102293.0,4.0
2,I'm The One,['Descendents'],spotify:track:5XXiK8GZjjmCHpBpUEm9z5,0.391,0.968,0.0,-6.324,1.0,0.0625,0.0102,7.01e-05,0.446,0.647,90.481,135133.0,4.0
3,Straight Edge,['Minor Threat'],spotify:track:3Iw6tbCYDYb3libUo3bB5S,0.251,0.958,5.0,-6.383,1.0,0.0685,0.00098,0.00408,0.313,0.748,189.067,47227.0,4.0
4,Bikeage,['Descendents'],spotify:track:5EC1LGwsPHVXBcjlf3cHct,0.243,0.875,7.0,-8.541,1.0,0.0553,0.0011,0.0,0.354,0.739,193.965,134200.0,4.0
5,Shindo,['Less Than Jake'],spotify:track:7mPVKpSmbh579G4htueuc5,0.276,0.924,0.0,-3.403,1.0,0.169,0.000222,0.0,0.148,0.587,183.096,137627.0,4.0
6,Where Eagles Dare,"['Misfits', 'Glenn Danzig']",spotify:track:5LgiqEgpK54OfXC6947wbU,0.282,0.943,2.0,-7.746,1.0,0.121,0.741,0.414,0.178,0.15,182.381,128427.0,4.0
7,Rise Above,['Black Flag'],spotify:track:4kFfFe38CRVnTsakUTL4E4,0.374,0.816,2.0,-13.88,1.0,0.0578,0.119,8.01e-06,0.0808,0.138,104.56,146560.0,4.0
8,25 Hour Goddamn Telethon,['Bomb the Music Industry!'],spotify:track:4RErgpX9FC3EQhWwZaBvbr,0.4,0.944,10.0,-4.784,1.0,0.109,0.0127,0.0,0.325,0.297,121.282,140333.0,4.0
9,Syke! Life Is Awesome!,['Bomb the Music Industry!'],spotify:track:3LMiWiSxM8CdfKqxuXk8pS,0.338,0.907,0.0,-5.113,1.0,0.13,0.0583,0.000541,0.564,0.545,170.076,241893.0,4.0
10,Leave It Alone,['NOFX'],spotify:track:2EPi4anyxVjKTcJwPtntjM,0.361,0.857,5.0,-9.079,1.0,0.0449,0.000174,0.0154,0.396,0.468,99.061,124427.0,4.0
11,Gonna Find You,['Operation Ivy'],spotify:track:51e1iIXDPVNXPiGhkCsbfX,0.498,0.931,2.0,-4.585,1.0,0.102,0.129,0.0,0.368,0.807,87.641,114133.0,4.0
12,Perfect Government,['NOFX'],spotify:track:0pe2du168zXMGZJlMcyyIb,0.343,0.913,7.0,-8.104,1.0,0.106,5.26e-05,0.000104,0.173,0.295,93.476,126027.0,4.0
13,Green Corn,['NOFX'],spotify:track:7a8JLhUwa7IWKEKsyJjk9X,0.174,0.916,9.0,-9.567,0.0,0.0545,1.87e-05,3.2e-05,0.0565,0.524,175.849,104467.0,4.0
14,The Moron Brothers,['NOFX'],spotify:track:7B0XWr4O3lvYjNHSXPLsbI,0.25,0.888,0.0,-9.914,1.0,0.0784,0.000237,2.66e-06,0.109,0.518,188.477,146933.0,4.0
15,Bombshell,['Operation Ivy'],spotify:track:4gcZNprZqWPyhf8oHpV9EY,0.281,0.956,2.0,-3.565,1.0,0.151,0.0528,0.00502,0.323,0.837,174.459,63600.0,4.0
16,The Brews,['NOFX'],spotify:track:4khRfibu32AGybm3FmGzk0,0.407,0.83,7.0,-9.207,1.0,0.0457,0.0008,0.0,0.403,0.556,93.359,160707.0,4.0
17,The Separation of Church and Skate,['NOFX'],spotify:track:3h9fmKrVyR3qluy5SAeg9a,0.371,0.948,5.0,-3.796,1.0,0.159,0.00378,4.23e-05,0.0668,0.278,137.187,189733.0,4.0
18,Hope,['Descendents'],spotify:track:1MPEPvmX18S9MK4RlMKIst,0.506,0.903,2.0,-8.898,1.0,0.0455,0.00169,0.0,0.336,0.781,117.229,120360.0,4.0
19,Suburban Home,['Descendents'],spotify:track:35PI5Hsq17h723EbyyDFsi,0.388,0.771,2.0,-9.393,1.0,0.0385,5.46e-05,0.0,0.359,0.826,99.258,100600.0,3.0
